ticker,sector,fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,gross_margin,ebitda_margin,ebit_margin,net_margin,roe,roa,asset_turnover,working_capital,current_ratio,debt_to_equity,interest_coverage,fcf,fcf_margin,cfo_to_net_income
GOOGL,Communication Services,2021,257637.0,110939.0,146698.0,88987.0,78714.0,10273.0,346.0,14701.0,76033.0,5.61,20945.0,188143.0,359268.0,64254.0,15440.0,0.0,15440.0,251635.0,91652.0,24640.0,-61362.0,-35523.0,0.5693980290098084,0.34539681800362526,0.3055228868524319,0.2951167728237792,0.30215590041131,0.21163309841121392,0.7171164701559838,123889.0,2.928113424845146,0.06135871401037216,227.4971098265896,67012.0,0.2601023921253547,1.2054239606486656
GOOGL,Communication Services,2022,282836.0,126203.0,156633.0,88317.0,74842.0,13475.0,357.0,11356.0,59972.0,4.56,21879.0,164795.0,365264.0,69300.0,15312.0,0.0,15312.0,256144.0,91495.0,31485.0,-69757.0,-20298.0,0.5537944250378312,0.3122551584663904,0.2646127084246701,0.2120380715326196,0.2341339246673746,0.16418809409084936,0.7743330851110429,95495.0,2.377994227994228,0.05977887438315947,209.64145658263305,60010.0,0.21217242500954617,1.5256286266924566
GOOGL,Communication Services,2023,307394.0,133332.0,174062.0,96239.0,84293.0,11946.0,308.0,11922.0,73795.0,5.8,24048.0,171530.0,402392.0,81814.0,12870.0,1000.0,11870.0,283379.0,101746.0,32251.0,-72093.0,-27063.0,0.566250479840205,0.3130802813327521,0.27421810445226646,0.24006649446638517,0.26041096905557576,0.18339082287918249,0.7639167776695361,89716.0,2.096584936563424,0.045416209387428144,273.67857142857144,69495.0,0.22607793255561268,1.3787654990175486
GOOGL,Communication Services,2024,350018.0,146306.0,203712.0,127701.0,112390.0,15311.0,268.0,19697.0,100118.0,8.04,23466.0,163711.0,450256.0,89122.0,11882.0,999.0,10883.0,325084.0,125299.0,52535.0,-79733.0,-45536.0,0.5820043540617911,0.3648412367363964,0.32109777211457696,0.28603671811164,0.30797578472025694,0.22235794747876764,0.7773755374720159,74589.0,1.8369313974102914,0.0365505530878173,419.36567164179104,72764.0,0.20788645155392008,1.2515132144069998
GOOGL,Communication Services,2025,402836.0,162535.0,240301.0,150175.0,129039.0,21136.0,736.0,26656.0,132170.0,10.81,30708.0,206038.0,595281.0,102745.0,48543.0,1996.0,46547.0,415265.0,164713.0,91447.0,-37388.0,-120291.0,0.5965231508603998,0.3727943877905649,0.32032638592380025,0.3280987796522654,0.3182786895115167,0.22202959610671263,0.6767157023321759,103293.0,2.005333592875566,0.11689643962289141,175.32472826086956,73266.0,0.18187550268595656,1.2462207762729818
AMZN,Consumer Discretionary,2016,135987.0,88265.0,47722.0,12302.0,4186.0,8116.0,484.0,1425.0,2371.0,4.9,19334.0,45781.0,83402.0,43816.0,8750.0,1056.0,7694.0,19285.0,17203.0,6737.0,-3716.0,-9516.0,0.35093060366064405,0.0904645296976917,0.030782354195621642,0.017435490157147373,0.12294529427015816,0.02842857485432004,1.6305004676146855,1965.0,1.044846631367537,0.4537205081669691,8.648760330578513,10466.0,0.07696323913315244,7.25558835934205
AMZN,Consumer Discretionary,2017,177866.0,111934.0,65932.0,15584.0,4106.0,11478.0,848.0,769.0,3033.0,6.15,20522.0,60197.0,131310.0,57883.0,24843.0,100.0,24743.0,27709.0,18365.0,11955.0,9928.0,-27084.0,0.3706835482891615,0.08761652030180023,0.023084794170892695,0.01705216286417865,0.10945902053484427,0.023098012337217273,1.3545503008148656,2314.0,1.039977195376881,0.8965679021256632,4.841981132075472,6410.0,0.03603836596089191,6.055060995713815
AMZN,Consumer Discretionary,2018,232887.0,139156.0,93731.0,27762.0,12421.0,15341.0,1417.0,1197.0,10073.0,20.14,31750.0,75101.0,162648.0,68391.0,24866.0,1371.0,23495.0,43549.0,30723.0,13427.0,-7686.0,-12369.0,0.4024741612885219,0.11920802792770743,0.053334879147397665,0.04325273630559026,0.231302670555007,0.06193128719689145,1.431846687324775,6710.0,1.098112324721089,0.5709890008955429,8.765702187720537,17296.0,0.0742677779352218,3.050034746351633
AMZN,Consumer Discretionary,2019,280522.0,165536.0,114986.0,36330.0,14541.0,21789.0,1600.0,2374.0,11588.0,23.01,36092.0,96334.0,225248.0,87812.0,24719.0,1305.0,23414.0,62060.0,38514.0,16861.0,-10066.0,-24281.0,0.4099001147860061,0.12950855904349748,0.05183550666257905,0.04130870306072251,0.1867225265871737,0.051445517829237106,1.245391745986646,8522.0,1.0970482394205803,0.39830808894618114,9.088125,21653.0,0.07718824192041979,3.323610631687953
AMZN,Consumer Discretionary,2020,386064.0,233307.0,152757.0,48079.0,22899.0,25180.0,1647.0,2863.0,21331.0,2.09,42122.0,132733.0,321195.0,126385.0,32971.0,1155.0,31816.0,93404.0,66064.0,40140.0,-1104.0,-59611.0,0.3956779186870571,0.12453634630527581,0.05931399975133657,0.05525249699531684,0.22837351719412444,0.06641137004000686,1.2019614253023865,6348.0,1.0502274795268425,0.3529934478180806,13.903460837887067,25924.0,0.06714948816776493,3.097088744081384
